window,role,n,mean_reward,positive_rate,negative_rate,mean_process,mean_cf,success_node_rate
201-250,Solver Agent,1600,0.16208583479961203,0.360625,0.0,0.4913176562500016,0.16687239583333333,0.400625
201-250,Verifier Agent,1600,0.06103916520038846,0.3875,0.0,0.23026250000000067,0.12926249999999984,0.44625
251-300,Solver Agent,1600,0.15518998558891942,0.3425,0.0,0.47910625000000256,0.1496875,0.376875
251-300,Verifier Agent,1600,0.05543501441108118,0.355,0.0,0.21182500000000076,0.09838749999999921,0.42125
301-350,Solver Agent,1600,0.17644836474158102,0.42875,0.0,0.5005100000000017,0.26578125,0.445625
301-350,Verifier Agent,1600,0.07292663525841939,0.46625,0.0,0.28185000000000276,0.1877875000000004,0.49875
351-400,Solver Agent,1600,0.20482159415967174,0.493125,0.0,0.5360187499999978,0.344375,0.52
351-400,Verifier Agent,1600,0.08330340584032793,0.52875,0.0,0.313425000000004,0.23280000000000212,0.57625
401-450,Solver Agent,1600,0.20432176080174547,0.480625,0.0,0.514656249999999,0.33921875,0.510625
401-450,Verifier Agent,1600,0.0825532391982538,0.52625,0.0,0.31555000000000333,0.24773750000000191,0.57375
451-500,Solver Agent,1600,0.20271043380098813,0.4925,0.0,0.5449787500000012,0.33390625,0.515
451-500,Verifier Agent,1600,0.08291456619901176,0.5325,0.0,0.31566250000000384,0.23878750000000212,0.57125
501-550,Solver Agent,1600,0.1821612054549754,0.433125,0.0,0.5278400000000021,0.24625,0.456875
501-550,Verifier Agent,1600,0.07221379454502462,0.46375,0.0,0.2701500000000028,0.1757749999999999,0.50875
551-600,Solver Agent,1600,0.15919668764449224,0.359375,0.0,0.49398625000000607,0.1725,0.385625
551-600,Verifier Agent,1600,0.05892831235550847,0.38125,0.0,0.22835000000000105,0.1258499999999999,0.43625
601-650,Solver Agent,1600,0.14962727956893032,0.35125,0.0,0.4764175000000029,0.1534375,0.3625
601-650,Verifier Agent,1600,0.05849772043107029,0.38125,0.0,0.23160000000000142,0.1319124999999996,0.41625
651-700,Solver Agent,1600,0.1631434599857319,0.3725,0.0,0.5041487500000027,0.17936666666666667,0.401875
651-700,Verifier Agent,1600,0.05998154001426891,0.3875,0.0,0.23085000000000147,0.1277249999999994,0.44625
701-746,Solver Agent,1472,0.14770828532271882,0.34646739130434784,0.0,0.4717418478260882,0.16677989130434784,0.36277173913043476
701-746,Verifier Agent,1472,0.057454758155542816,0.37771739130434784,0.0,0.2307065217391315,0.11521739130434716,0.41032608695652173
